,GrLivArea,OverallQual,YearBuilt,YearRemodAdd,TotRmsAbvGrd,FullBath,GarageArea,GarageCars,1stFlrSF,totalFlrSF,SalePrice,KitchenQual,ExterQual,FireplaceQu,GarageFinish
71,845,4,1982,2006,4,1,360,2,845,2050,129500,2.0,2.0,0.0,1.0
72,1718,7,1998,1998,7,2,427,2,885,2977,185000,2.0,2.0,3.0,3.0
73,1086,5,1954,2003,6,1,490,2,1086,2662,144900,2.0,2.0,0.0,1.0
74,1605,3,1915,1950,8,2,379,1,840,2824,107400,2.0,3.0,0.0,1.0
75,988,4,1973,1973,5,1,297,1,526,1747,91000,2.0,2.0,0.0,1.0
76,952,4,1956,1956,4,1,283,1,952,2187,135750,2.0,2.0,0.0,1.0
77,1285,5,1948,2001,6,1,240,1,1072,2197,127000,2.0,2.0,0.0,1.0
78,1768,4,1968,1968,8,2,0,0,1768,3536,136500,2.0,2.0,0.0,0.0
79,1230,5,1910,1981,5,1,440,2,682,2110,110000,2.0,2.0,0.0,1.0
80,2142,6,1968,1968,8,2,509,1,1182,3547,193500,3.0,2.0,4.0,3.0
81,1337,6,1998,1998,5,2,405,2,1337,2979,153500,2.0,2.0,0.0,3.0
82,1563,8,2007,2007,6,2,758,3,1563,3884,245000,3.0,2.0,4.0,2.0
83,1065,5,1960,1960,6,1,461,2,1065,2591,126500,2.0,2.0,0.0,1.0
84,1474,7,1995,1996,7,2,400,2,804,2258,168500,2.0,2.0,3.0,3.0
85,2417,8,1991,1992,9,2,462,2,1301,4167,260000,3.0,3.0,3.0,1.0
86,1560,6,2005,2005,6,2,400,2,684,2644,174000,3.0,3.0,4.0,3.0
87,1224,6,2009,2009,4,2,528,2,612,2364,164500,3.0,3.0,0.0,2.0
88,1526,3,1915,1982,6,1,0,0,1013,2026,85000,1.0,1.0,0.0,0.0
89,990,4,1994,1995,5,1,0,0,990,1980,123600,2.0,2.0,0.0,0.0
90,1040,4,1950,1950,4,1,420,2,1040,1460,109900,2.0,2.0,0.0,1.0
91,1235,5,1961,1961,6,1,480,2,1235,2950,98600,2.0,2.0,0.0,1.0
92,964,5,1921,2006,5,1,432,2,964,2272,163500,2.0,2.0,0.0,1.0
93,2291,6,1910,1998,9,2,506,2,1260,4011,133900,2.0,2.0,4.0,1.0
94,1786,6,1997,1997,7,2,684,2,905,3294,204750,3.0,2.0,0.0,2.0
95,1470,6,1993,1993,6,2,420,2,680,2570,185000,2.0,4.0,3.0,3.0
96,1588,7,1999,1999,6,2,472,2,1588,3648,214000,3.0,3.0,0.0,2.0
97,960,4,1965,1965,6,1,432,1,960,2352,94750,2.0,2.0,0.0,3.0
98,835,5,1920,1950,5,1,366,1,835,1659,83000,2.0,2.0,0.0,1.0
99,1225,4,1959,1959,6,1,0,0,1225,2175,128950,2.0,2.0,0.0,0.0
100,1610,6,1977,2001,6,2,480,2,1610,3700,205000,3.0,2.0,3.0,2.0
101,1732,6,1985,1985,7,2,476,2,977,2949,178000,3.0,3.0,3.0,3.0
102,1535,5,1979,1979,8,2,410,2,1535,1945,118964,2.0,2.0,0.0,1.0
103,1226,7,2009,2009,6,2,740,3,1226,3192,198900,3.0,2.0,0.0,2.0
104,1818,7,1931,1950,7,1,240,1,1226,3098,169500,2.0,2.0,3.0,1.0
105,1992,8,2003,2004,9,2,648,2,1053,3693,250000,3.0,3.0,4.0,2.0
106,1047,4,1885,1995,6,1,273,1,1047,1961,100000,2.0,2.0,0.0,1.0
107,789,5,1948,1950,5,1,250,1,789,1828,115000,2.0,2.0,0.0,1.0
108,1517,5,1919,2005,7,2,0,0,997,2310,115000,1.0,2.0,0.0,0.0
109,1844,6,1977,1977,7,2,546,2,1844,4234,190000,2.0,2.0,3.0,2.0
110,1855,6,1954,1972,7,2,325,1,1216,3174,136900,2.0,2.0,0.0,1.0
111,1430,7,2000,2000,7,2,400,2,774,2214,180000,2.0,2.0,3.0,3.0
112,2696,7,2007,2007,10,2,792,3,1282,4752,383970,4.0,3.0,4.0,3.0
113,2259,6,1953,1953,7,2,450,2,2259,4518,217000,3.0,2.0,4.0,1.0
114,2320,6,1945,2002,9,2,180,1,1436,3528,259500,3.0,2.0,3.0,1.0
115,1458,6,1999,1999,5,2,440,2,729,2627,176000,2.0,2.0,2.0,1.0
116,1092,5,1962,1962,6,1,288,1,1092,2472,139000,2.0,2.0,1.0,1.0
117,1125,5,2006,2007,5,1,430,2,1125,2680,155000,2.0,2.0,0.0,1.0
119,1456,6,2005,2006,8,2,390,2,728,2574,163990,3.0,3.0,4.0,3.0
120,988,6,1969,1969,4,1,540,2,988,2466,180000,2.0,2.0,3.0,1.0
121,1123,4,1939,1950,4,1,264,1,772,2119,100000,2.0,2.0,0.0,1.0
122,1080,6,1958,1958,5,1,288,1,1080,2448,136000,2.0,2.0,0.0,1.0
123,1199,6,1993,1993,5,2,530,2,1199,2928,153900,3.0,3.0,0.0,2.0
124,1586,6,1979,1998,7,2,435,2,1586,3383,181000,2.0,2.0,3.0,1.0
125,754,6,1935,1982,5,1,0,0,520,1040,84500,2.0,2.0,0.0,0.0
126,958,6,1976,1976,5,2,440,2,958,2476,128000,2.0,2.0,3.0,2.0
127,840,5,1930,1950,5,1,0,0,840,1512,87000,2.0,2.0,3.0,0.0
128,1348,6,1966,1966,6,1,453,2,660,2461,155000,2.0,2.0,2.0,2.0
129,1053,5,1958,1991,6,1,750,2,1053,2811,150000,4.0,2.0,0.0,2.0
130,2157,7,1966,1966,8,2,487,2,1216,3568,226000,3.0,2.0,4.0,3.0
131,2054,6,2000,2000,7,2,390,2,1022,3436,244000,3.0,3.0,3.0,2.0
132,1327,5,1959,2002,7,1,624,2,1327,3014,150750,3.0,2.0,0.0,1.0
133,1296,8,2001,2002,6,2,471,2,1296,3034,220000,3.0,3.0,0.0,3.0
134,1721,5,1968,1993,7,2,440,2,1721,3622,180000,2.0,2.0,3.0,2.0
135,1682,7,1970,1970,7,2,530,2,1682,3516,174000,2.0,2.0,4.0,1.0
136,1214,5,1967,1967,5,2,318,1,1214,2746,143000,2.0,2.0,2.0,2.0
137,1959,7,1988,1989,9,3,766,3,1959,4632,171000,2.0,2.0,0.0,1.0
138,1852,8,1999,2000,7,2,660,3,1004,3516,230000,3.0,3.0,3.0,3.0
139,1764,6,1997,1997,7,2,470,2,928,3162,231500,3.0,2.0,0.0,2.0
140,864,4,1971,1971,5,1,0,0,864,1728,115000,2.0,2.0,1.0,0.0
141,1734,7,2005,2005,7,2,660,2,1734,4128,260000,3.0,3.0,0.0,3.0
142,1385,5,1952,1952,6,2,720,2,910,3015,166000,2.0,2.0,0.0,1.0
143,1501,7,1999,1999,6,2,577,2,1501,3568,204000,3.0,3.0,0.0,2.0
144,1728,5,1963,1963,10,2,504,2,1728,3960,125000,2.0,2.0,0.0,1.0
145,1709,6,2004,2006,7,2,380,2,970,3059,130000,3.0,3.0,0.0,1.0
146,875,5,1931,1993,5,1,180,1,875,1770,105000,2.0,2.0,0.0,1.0
147,2035,7,2001,2001,8,2,434,2,884,3353,222500,3.0,3.0,4.0,3.0
148,1080,7,2004,2005,6,1,0,0,1080,2160,141000,3.0,2.0,0.0,0.0
149,1344,5,1936,1950,7,1,240,1,896,2480,115000,2.0,2.0,0.0,1.0
150,969,5,1975,1975,5,1,440,2,969,2378,122000,2.0,2.0,0.0,1.0
151,1710,8,2007,2008,6,2,866,3,1710,4286,372402,3.0,3.0,4.0,2.0
152,1993,6,1971,1971,8,2,495,2,1097,3313,190000,2.0,2.0,4.0,2.0
153,1252,6,1960,1975,4,1,564,2,1252,3418,235000,2.0,2.0,4.0,2.0
154,1200,6,1923,1950,7,1,312,1,1200,2712,125000,2.0,2.0,0.0,1.0
155,1096,6,1924,1950,5,1,0,0,572,1668,79000,2.0,2.0,0.0,0.0
156,1040,5,1950,1950,5,1,625,2,1040,1665,109500,2.0,2.0,0.0,1.0
157,1968,8,2009,2010,8,2,680,3,774,3422,269500,4.0,3.0,4.0,3.0
158,1947,7,2004,2005,8,2,678,2,991,3616,254900,3.0,3.0,4.0,2.0
159,2462,7,2005,2006,9,2,576,2,1392,4430,320000,3.0,3.0,4.0,2.0
160,1232,6,1984,1984,6,2,516,2,1232,2980,162500,2.0,2.0,0.0,1.0
161,2668,9,2003,2004,10,2,726,3,1572,4966,412500,4.0,3.0,4.0,3.0
162,1541,7,2005,2005,7,2,532,2,1541,3614,220000,3.0,3.0,4.0,2.0
163,882,4,1956,1956,4,1,0,0,882,1764,103200,2.0,2.0,0.0,0.0
164,1616,6,1926,2004,5,2,216,1,1149,2981,152000,3.0,2.0,0.0,1.0
165,1355,5,1940,1999,6,2,0,0,808,1999,127500,2.0,2.0,0.0,0.0
166,1867,5,1955,1993,7,1,303,1,1867,3787,190000,2.0,3.0,4.0,3.0
167,2161,8,2007,2007,8,1,789,3,1610,4532,325624,4.0,3.0,4.0,3.0
168,1720,7,2004,2004,7,2,440,2,840,3000,183500,3.0,3.0,4.0,3.0
169,1707,8,1981,1981,6,2,511,2,1707,3904,228000,2.0,3.0,3.0,2.0
170,1382,5,1941,1950,7,1,660,2,854,2234,128500,2.0,2.0,0.0,1.0
171,1656,6,1960,1960,7,1,528,2,1656,3264,215000,2.0,2.0,4.0,3.0
172,1767,7,1987,1987,5,2,504,2,1064,3335,239000,3.0,3.0,3.0,2.0
173,1362,6,1961,1961,6,1,504,2,1362,3228,163000,2.0,2.0,3.0,1.0
174,1651,6,1986,1986,7,2,616,2,1651,3873,184000,2.0,2.0,3.0,3.0
175,2158,6,1950,2001,7,2,576,2,2158,3936,243000,3.0,2.0,4.0,1.0
176,2060,6,1988,1989,8,2,521,2,1164,3732,211000,2.0,3.0,3.0,1.0
177,1920,5,1958,1958,8,2,451,2,1252,3423,172500,3.0,3.0,4.0,1.0
178,2234,9,2008,2009,9,2,1166,3,2234,5616,501837,4.0,4.0,4.0,3.0
179,968,5,1923,2006,5,1,480,2,968,2416,100000,2.0,3.0,0.0,1.0
180,1525,6,2000,2000,5,2,440,2,769,2721,177000,3.0,3.0,3.0,1.0
181,1802,7,1920,1950,9,1,216,1,901,2811,200100,2.0,2.0,4.0,1.0
182,1340,5,1957,2006,7,1,252,1,1340,1592,120000,2.0,2.0,4.0,2.0
183,2082,7,2003,2003,6,2,484,2,1362,3928,200000,3.0,2.0,0.0,1.0
184,1252,5,1908,1991,5,1,576,2,936,2332,127000,2.0,2.0,0.0,1.0
186,1217,7,1990,1991,6,2,497,2,1217,2902,173000,3.0,2.0,0.0,1.0
187,1656,5,1916,1987,8,2,180,1,808,2352,135000,2.0,2.0,0.0,1.0
188,1224,5,1979,1979,6,0,528,2,1224,2838,153337,2.0,2.0,3.0,1.0
189,1593,8,2001,2002,5,1,682,2,1593,3868,286000,4.0,3.0,4.0,3.0
190,2727,8,1932,1994,10,2,440,2,1549,4020,315000,3.0,3.0,3.0,1.0
191,1479,7,1972,2004,7,1,484,2,725,2688,184000,3.0,2.0,0.0,3.0
192,1431,7,1999,1999,6,2,666,2,1431,3528,192000,3.0,3.0,0.0,3.0
193,1709,7,2004,2004,7,2,380,2,970,3059,130000,3.0,3.0,0.0,1.0
194,864,5,1972,1972,5,1,352,1,864,2080,127000,2.0,2.0,0.0,1.0
195,1456,6,1976,1976,7,2,440,2,855,2751,148500,2.0,2.0,3.0,1.0
196,1726,7,2007,2007,8,2,786,3,1726,4238,311872,4.0,4.0,4.0,3.0
198,2229,6,1912,1950,8,1,0,0,929,2613,104000,2.0,2.0,0.0,0.0
199,1713,8,2004,2005,7,2,856,3,1713,4282,274900,4.0,3.0,4.0,3.0
200,1121,4,2003,2004,5,2,440,2,1121,2682,140000,2.0,2.0,0.0,2.0
201,1279,6,1977,1977,6,2,473,2,1279,2948,171500,2.0,2.0,2.0,1.0
202,1310,6,1924,1950,6,2,398,1,865,2325,112000,2.0,2.0,0.0,1.0
203,848,6,2004,2004,3,1,420,2,848,2116,149000,3.0,3.0,4.0,2.0
204,1284,5,1947,1950,5,1,240,1,720,2244,110000,2.0,2.0,0.0,1.0
205,1442,7,1990,1990,5,2,500,2,1442,3366,180500,2.0,2.0,0.0,2.0
206,1696,5,1962,1962,8,1,349,1,1696,3185,143900,2.0,2.0,3.0,2.0
207,1100,4,1960,1960,6,1,312,1,1100,2512,141000,2.0,2.0,1.0,2.0
208,2062,7,1988,1989,7,2,454,2,1180,3673,277000,2.0,3.0,4.0,3.0
209,1092,6,1964,1964,6,1,504,2,1092,2688,145000,2.0,2.0,0.0,2.0
210,864,5,1925,1950,5,1,0,0,864,1728,98000,2.0,2.0,0.0,0.0
211,1212,6,2009,2009,6,2,460,2,1212,2884,186000,3.0,2.0,0.0,2.0
212,1852,7,2009,2009,7,2,644,2,932,3396,252678,3.0,2.0,3.0,2.0
213,990,5,1995,1995,5,1,576,2,990,2556,156000,2.0,2.0,0.0,1.0
214,1392,6,1977,1977,6,1,299,1,689,2380,161750,2.0,2.0,0.0,3.0
215,1236,5,1957,1996,6,1,447,1,1236,2753,134450,3.0,2.0,2.0,1.0
216,1436,7,2004,2004,8,2,484,2,1436,3356,210000,3.0,3.0,0.0,1.0
217,1328,4,1925,1950,8,1,210,1,810,2224,107000,2.0,2.0,0.0,1.0
218,1954,7,1939,2006,8,1,431,2,1137,3183,311500,3.0,3.0,3.0,1.0
219,1248,7,2005,2006,5,2,438,2,1248,2934,167240,3.0,3.0,0.0,3.0
220,1498,7,2006,2006,5,2,675,2,1498,3671,204900,3.0,3.0,0.0,2.0
221,2267,6,2002,2002,8,2,390,2,1010,3667,200000,3.0,3.0,3.0,2.0
222,1552,6,1975,1975,6,2,434,2,811,2699,179900,2.0,2.0,3.0,2.0
223,864,4,1971,1971,4,1,576,2,864,2304,97000,2.0,2.0,0.0,1.0
224,2392,10,2003,2003,8,2,968,3,2392,5752,386250,4.0,4.0,5.0,3.0
225,1302,5,1971,1971,6,2,280,1,630,2212,112000,2.0,2.0,0.0,1.0
226,2520,7,1995,1995,9,2,721,3,1214,4444,290000,3.0,3.0,3.0,2.0
227,987,6,1970,1970,5,1,280,1,483,1750,106000,2.0,2.0,0.0,1.0
228,912,5,1967,1967,5,1,336,1,912,2160,125000,2.0,2.0,2.0,1.0
229,1555,7,2005,2006,7,2,430,2,1555,3358,192500,3.0,3.0,3.0,3.0
230,1194,6,1959,1959,6,1,312,1,1194,2700,148000,2.0,2.0,0.0,2.0
231,2794,8,1995,1996,9,2,810,3,1490,5066,403000,4.0,3.0,3.0,3.0
232,987,6,1972,1972,5,1,288,1,483,1758,94500,2.0,2.0,1.0,1.0
233,894,5,1976,1976,5,1,308,1,894,2096,128200,2.0,2.0,0.0,1.0
234,1960,6,2002,2002,8,2,440,2,860,3260,216500,3.0,3.0,3.0,3.0
235,987,6,1971,1971,5,1,264,1,483,1734,89500,2.0,2.0,0.0,1.0
236,1414,7,2004,2004,6,2,494,2,1414,3322,185500,3.0,3.0,0.0,2.0
237,1744,7,1993,2003,7,2,457,2,1014,3197,194500,3.0,3.0,0.0,2.0
238,1694,8,2007,2007,7,2,818,3,1694,4206,318000,3.0,4.0,0.0,3.0
239,1487,6,1945,1950,7,1,220,1,798,2442,113000,2.0,2.0,4.0,1.0
240,1566,8,2008,2008,7,2,750,2,1566,3882,262500,3.0,3.0,0.0,2.0
241,866,5,1945,1997,4,1,0,0,866,1552,110500,3.0,2.0,0.0,0.0
242,1440,5,1900,1950,6,1,352,1,889,2332,79000,2.0,2.0,0.0,1.0
243,1217,6,1980,1980,6,1,288,1,626,2131,120000,2.0,2.0,3.0,2.0
244,2110,7,1994,2002,8,2,463,2,1222,3521,205000,3.0,3.0,2.0,2.0
245,1872,7,1988,1988,6,2,604,2,1872,4321,241500,2.0,2.0,3.0,3.0
246,1928,6,1910,1950,9,2,440,1,908,3388,137000,1.0,2.0,0.0,1.0
247,1375,6,1954,1954,5,1,451,2,1375,3193,140000,2.0,2.0,3.0,1.0
248,1668,7,2003,2003,8,2,500,2,840,3008,180000,3.0,3.0,0.0,2.0
249,2144,6,1958,2006,7,2,389,2,1444,3977,277000,3.0,3.0,3.0,3.0
250,1306,3,1940,1966,6,1,0,0,1306,2034,76500,1.0,2.0,0.0,0.0
251,1625,8,2006,2007,5,2,538,2,1625,3736,235000,3.0,3.0,4.0,3.0
252,1640,6,2004,2004,6,2,520,2,798,2958,173000,3.0,3.0,0.0,2.0
253,1302,6,1964,1991,7,2,309,1,1302,2913,158000,3.0,2.0,0.0,2.0
254,1314,5,1957,1957,5,1,294,1,1314,2922,145000,2.0,2.0,0.0,2.0
255,2291,7,1999,1999,8,2,429,2,1005,3695,230000,3.0,3.0,3.0,3.0
256,1728,6,2003,2003,7,2,673,2,864,3265,207500,3.0,3.0,0.0,2.0
257,1604,7,2006,2006,8,2,660,2,1604,3868,220000,3.0,3.0,4.0,2.0
258,1792,7,2001,2001,7,2,564,2,963,3319,231500,3.0,3.0,3.0,2.0
259,882,5,1956,1956,4,1,308,1,882,1190,97000,2.0,2.0,0.0,1.0
260,1382,6,1962,1962,6,1,884,2,1382,3628,176000,2.0,2.0,3.0,1.0
261,2574,8,2007,2007,10,2,868,3,1482,4924,276000,4.0,3.0,4.0,3.0
262,1212,6,1977,1995,6,1,492,2,1212,2210,151000,2.0,2.0,3.0,1.0
263,1316,5,1929,2001,6,1,484,2,926,2336,130000,2.0,2.0,0.0,1.0
264,764,5,1925,2004,4,1,504,2,764,1948,73000,2.0,2.0,0.0,1.0
265,1422,6,1981,1981,7,2,576,2,1422,3420,175500,3.0,2.0,3.0,3.0
266,1511,6,1997,1997,8,2,413,2,802,2726,185000,2.0,2.0,3.0,3.0
267,2192,5,1939,1997,8,2,240,1,1052,2732,179500,3.0,2.0,4.0,1.0
268,778,5,1940,1955,4,1,924,1,778,2442,120500,2.0,2.0,4.0,3.0
269,1113,6,1976,1976,6,1,504,1,1113,2760,148000,2.0,2.0,2.0,2.0
270,1939,8,2006,2006,8,2,1053,3,1095,4087,266000,3.0,3.0,4.0,2.0
271,1363,7,1954,2005,5,1,439,2,1363,3187,241500,2.0,2.0,3.0,1.0
272,2270,8,1999,2007,9,2,671,3,1164,4093,290000,3.0,3.0,4.0,3.0
273,1632,6,1958,1988,6,2,338,1,1632,3210,139000,2.0,2.0,4.0,2.0
274,816,5,1982,1982,5,1,264,1,816,1896,124500,2.0,2.0,0.0,1.0
275,1548,7,1925,2007,5,2,672,2,952,3172,205000,4.0,3.0,0.0,1.0
276,1560,7,2003,2003,7,2,573,2,1560,3693,201000,3.0,3.0,0.0,3.0
277,864,4,1951,1951,4,1,400,2,864,2128,141000,2.0,2.0,0.0,1.0
278,2121,9,2006,2007,8,2,732,3,2121,4974,415298,4.0,4.0,5.0,3.0
279,2022,7,1977,1977,8,2,505,2,1156,3687,192000,2.0,2.0,3.0,3.0
280,1982,7,1989,1989,7,2,575,2,1175,3364,228500,3.0,3.0,3.0,3.0
281,1262,6,2006,2006,5,2,572,2,1262,3096,185000,3.0,3.0,0.0,3.0
282,1314,7,2007,2008,6,2,626,2,1314,3254,207500,3.0,3.0,4.0,2.0
283,1468,8,2008,2009,6,2,898,3,1468,3834,244600,3.0,3.0,4.0,3.0
284,1575,6,1992,1992,5,2,529,2,1575,3679,179200,3.0,3.0,0.0,2.0
285,1250,7,2006,2007,5,2,528,2,625,2403,164700,3.0,3.0,0.0,2.0
286,1734,6,1962,1981,7,1,440,2,1085,3086,159000,3.0,2.0,4.0,2.0
287,858,4,1971,1971,5,1,0,0,858,1716,88000,2.0,2.0,0.0,0.0
288,900,5,1967,1967,5,1,280,1,900,2062,122000,2.0,2.0,0.0,1.0
289,1396,6,1915,2003,7,1,384,1,698,2478,153575,2.0,2.0,0.0,1.0
290,1919,8,2006,2006,8,2,685,2,1079,3683,233230,3.0,3.0,4.0,2.0
291,1716,5,1912,2000,9,2,0,0,936,2496,135900,1.0,2.0,0.0,0.0
292,1716,5,1949,2008,8,1,281,1,1148,2765,131000,2.0,2.0,4.0,1.0
293,2263,7,1977,1994,9,2,539,2,1468,3597,235000,3.0,2.0,3.0,3.0
294,1644,6,1953,1953,7,1,418,2,1644,3478,167000,2.0,2.0,4.0,3.0
295,1003,6,1984,1984,6,1,588,2,1003,2594,142500,2.0,2.0,0.0,1.0
296,1558,5,1950,1950,6,1,282,1,910,2750,152000,2.0,2.0,0.0,1.0
297,1950,7,1997,1998,7,2,576,2,975,3501,239000,3.0,3.0,3.0,2.0
298,1743,6,1968,1968,7,1,539,2,1041,2984,175000,2.0,3.0,4.0,1.0
299,1152,6,1950,2004,6,1,300,1,1152,2544,158500,3.0,2.0,4.0,1.0
300,1336,5,1953,1953,5,1,375,1,1336,2876,157000,2.0,2.0,4.0,1.0
301,2452,8,1998,1999,9,2,683,2,1210,4163,267000,3.0,3.0,3.0,3.0
302,1541,7,2001,2002,6,2,843,3,1541,3925,205000,3.0,3.0,3.0,2.0
303,894,5,1972,1972,5,1,552,2,894,2340,149900,2.0,2.0,0.0,1.0
305,2000,8,2004,2005,8,2,888,3,2000,4888,305900,3.0,3.0,0.0,3.0
306,2243,7,1990,1991,8,2,746,3,1122,3689,225000,3.0,3.0,3.0,2.0
307,1406,6,1920,1950,6,1,0,0,1035,1725,89500,1.0,2.0,0.0,0.0
